test_id,subtest,run_id,valid,protocol_draft,transport,relay,track_count,user_count,offered_load_mbps,capacity_mbps,rtt_ms,mode,primary_metric_name,primary_metric_value,secondary_metric_name,secondary_metric_value,status,limitation
P4,P4D_fanout,run_20260916T145056Z_df7aa83b,true,18,raw_quic,moqx@502b6b8f,8,2,8,100,40,fanout_50pct_overlap,publisher_to_relay_wire_bytes,8265007,relay_to_users_wire_bytes,1748759,COMPLETE,none
P4,P4D_fanout,run_20260916T145107Z_0eea6fb0,true,18,raw_quic,moqx@502b6b8f,8,2,8,100,40,fanout_50pct_overlap,publisher_to_relay_wire_bytes,8268170,relay_to_users_wire_bytes,1813241,COMPLETE,none
P4,P4D_fanout,run_20260916T145118Z_ccbfabd8,true,18,raw_quic,moqx@502b6b8f,8,2,8,100,40,fanout_50pct_overlap,publisher_to_relay_wire_bytes,8271069,relay_to_users_wire_bytes,2030761,COMPLETE,none
P4,P4A_exploratory,run_20260916T061926Z_d12e8bb6,true,18,raw_quic,moqx@502b6b8f,1,1,1,100,40,forward_f1,downstream_wire_bytes,262839,secondary_metric,unsupported,EXPLORATORY_EXCLUDED,validation_incomplete
P4,P4A_exploratory,run_20260916T061942Z_2a73d61a,true,18,raw_quic,moqx@502b6b8f,1,1,1,100,40,forward_f0,downstream_wire_bytes,4221,secondary_metric,unsupported,EXPLORATORY_EXCLUDED,validation_incomplete
P4,P4A_exploratory,run_20260916T061959Z_e04fd06e,true,18,raw_quic,moqx@502b6b8f,1,1,1,100,40,forward_0_to_1,first_object_ms,70.599076,downstream_wire_bytes,249702,EXPLORATORY_EXCLUDED,validation_incomplete
P4,P4A_exploratory,run_20260916T062016Z_7a83ae3a,true,18,raw_quic,moqx@502b6b8f,1,1,1,100,40,forward_1_to_0,downstream_wire_bytes,224004,secondary_metric,unsupported,EXPLORATORY_EXCLUDED,validation_incomplete
P4,P4A_invalid,run_20260916T144012Z_6ba2b02e,false,18,raw_quic,moqx@502b6b8f,1,1,1,100,40,forward_f1,monitoring_gate,fail,process_liveness_gate,fail,COMPLETED_INVALID,experiment_harness
P4,P4A_invalid,run_20260916T144021Z_ae3effae,false,18,raw_quic,moqx@502b6b8f,1,1,1,100,40,forward_f1,monitoring_gate,fail,process_liveness_gate,fail,COMPLETED_INVALID,experiment_harness
P4,P4A_invalid,run_20260916T144030Z_80006c63,false,18,raw_quic,moqx@502b6b8f,1,1,1,100,40,forward_f1,monitoring_gate,fail,process_liveness_gate,fail,COMPLETED_INVALID,experiment_harness
P4,P4A_invalid,run_20260916T144039Z_5d6a381e,false,18,raw_quic,moqx@502b6b8f,1,1,1,100,40,forward_f0,monitoring_gate,fail,process_liveness_gate,fail,COMPLETED_INVALID,experiment_harness
P4,P4A_invalid,run_20260916T144048Z_b77a0984,false,18,raw_quic,moqx@502b6b8f,1,1,1,100,40,forward_f0,monitoring_gate,fail,process_liveness_gate,fail,COMPLETED_INVALID,experiment_harness
P4,P4A_invalid,run_20260916T144057Z_88013469,false,18,raw_quic,moqx@502b6b8f,1,1,1,100,40,forward_f0,monitoring_gate,fail,process_liveness_gate,fail,COMPLETED_INVALID,experiment_harness
P4,P4A_invalid,run_20260916T144105Z_08727ea7,false,18,raw_quic,moqx@502b6b8f,1,1,1,100,40,forward_0_to_1,monitoring_gate,fail,process_liveness_gate,fail,COMPLETED_INVALID,experiment_harness
P4,P4A_invalid,run_20260916T144114Z_17d1e19d,false,18,raw_quic,moqx@502b6b8f,1,1,1,100,40,forward_0_to_1,monitoring_gate,fail,process_liveness_gate,fail,COMPLETED_INVALID,experiment_harness
P4,P4A_invalid,run_20260916T144123Z_6a8e0c55,false,18,raw_quic,moqx@502b6b8f,1,1,1,100,40,forward_0_to_1,monitoring_gate,fail,process_liveness_gate,fail,COMPLETED_INVALID,experiment_harness
P4,P4A_invalid,run_20260916T144132Z_685cd5ec,false,18,raw_quic,moqx@502b6b8f,1,1,1,100,40,forward_1_to_0,monitoring_gate,fail,process_liveness_gate,fail,COMPLETED_INVALID,experiment_harness
P4,P4A_invalid,run_20260916T144141Z_4fa2bb39,false,18,raw_quic,moqx@502b6b8f,1,1,1,100,40,forward_1_to_0,monitoring_gate,fail,process_liveness_gate,fail,COMPLETED_INVALID,experiment_harness
P4,P4A_invalid,run_20260916T144150Z_1a742f9a,false,18,raw_quic,moqx@502b6b8f,1,1,1,100,40,forward_1_to_0,monitoring_gate,fail,process_liveness_gate,fail,COMPLETED_INVALID,experiment_harness
P4,P4B_invalid,run_20260916T145016Z_97f5d149,false,18,raw_quic,moqx@502b6b8f,8,1,8,100,40,reactive,transition_gate,fail,first_object_ms,538.973163,COMPLETED_INVALID,experiment_harness
P4,P4B_invalid,run_20260916T145027Z_9cc21d0f,false,18,raw_quic,moqx@502b6b8f,8,1,8,100,40,reactive,transition_gate,fail,first_object_ms,540.796269,COMPLETED_INVALID,experiment_harness
P4,P4B_invalid,run_20260916T145038Z_c618066e,false,18,raw_quic,moqx@502b6b8f,8,1,8,100,40,reactive,transition_gate,fail,first_object_ms,541.923917,COMPLETED_INVALID,experiment_harness
P5,standalone_fetch_smoke,run_20260918T143738Z_97313525,false,18,raw_quic,moqx@502b6b8f,1,1,1,,0,standalone_fetch,received_objects,40,historical_bytes,125000,COMPLETED_INVALID,harness_misclassified_END_OF_GROUP_and_monitoring_failed
P5,standalone_fetch_smoke,run_20260918T143858Z_52655231,true,18,raw_quic,moqx@502b6b8f,1,1,1,,0,standalone_fetch,first_object_ms,4.005658,first_complete_group_ms,12.882219,NATIVE_SEMANTIC_SMOKE,not_controlled_performance
P5,joining_fetch_smoke,run_20260918T143916Z_54554a8f,true,18,raw_quic,moqx@502b6b8f,1,1,1,,0,joining_fetch,first_object_ms,5.309613,first_complete_group_ms,470.882702,NATIVE_SEMANTIC_SMOKE,not_controlled_performance
P5,joining_fetch_smoke,run_20260918T144631Z_8f93c62d,true,18,raw_quic,moqx@502b6b8f,1,1,1,,0,joining_fetch,first_object_ms,5.041504,first_complete_group_ms,472.839115,NATIVE_SEMANTIC_SMOKE,not_controlled_performance
P5,standalone_fetch_smoke,run_20260918T144854Z_dc6eac7e,true,18,raw_quic,moqx@502b6b8f,1,1,1,,0,standalone_fetch,first_object_ms,4.610028,first_complete_group_ms,25.250747,NATIVE_SEMANTIC_SMOKE,not_controlled_performance
P5,joining_fetch_smoke,run_20260918T145044Z_e32007ea,true,18,raw_quic,moqx@502b6b8f,1,1,1,,0,joining_fetch,first_object_ms,5.097104,first_complete_group_ms,470.540106,NATIVE_SEMANTIC_SMOKE,not_controlled_performance
P5,live_only_controlled,not_run,false,18,raw_quic,moqx@502b6b8f,1_or_4,1,1,100,40,live_only,primary_metric,not_run,secondary_metric,not_run,CONTROLLED_MATRIX_PENDING_ROOT,execution_permission
P5,P5A_controlled,not_run,false,18,raw_quic,moqx@502b6b8f,1,1,1,100,40,matrix,primary_metric,not_run,secondary_metric,not_run,CONTROLLED_MATRIX_PENDING_ROOT,execution_permission
P5,P5B_controlled,not_run,false,18,raw_quic,moqx@502b6b8f,4,1,1,100,40,matrix,primary_metric,not_run,secondary_metric,not_run,CONTROLLED_MATRIX_PENDING_ROOT,execution_permission
