run_id,track_count,total_offered_bitrate_mbps,network_capacity_mbps,repetition,mean_completion_latency_ms,median_completion_latency_ms,p95_completion_latency_ms,mean_skew_ms,median_skew_ms,p95_skew_ms,p99_skew_ms,weakest_track_goodput_bps,aggregate_goodput_bps,group_completion_ratio,deadline_miss_ratio,valid_for_protocol_claim
run_20260915T165233Z_13673576,1,1.0,,1,21.3404335,11.686435,48.5934467,0.0,0.0,0.0,0.0,831310.0758379019,831310.0758379019,1.0,0.0,True
run_20260915T165508Z_5c231a94,4,4.0,,1,34.054790024999996,10.326886,224.4512335,24.7586696,3.1289375,122.77283959999977,199.17436232000003,832958.1417069294,3331832.5668277177,1.0,0.0,True
run_20260915T165541Z_d2e68928,1,24.0,,1,50.6324255,47.8722685,75.49890504999998,0.0,0.0,0.0,0.0,22651538.103998866,22651538.103998866,1.0,0.0,False
run_20260915T165654Z_b1c69629,1,24.0,,1,46.64909136666667,41.2519095,73.36889515,0.0,0.0,0.0,0.0,22657054.473235678,22657054.473235678,1.0,0.0,True
run_20260915T165751Z_8504fe17,2,24.0,,1,37.89930428333333,33.215405,66.91318549999998,13.7103155,6.3173825,6.973447099999998,163.6397580700002,11328532.332966598,22657064.665933196,1.0,0.0,True
run_20260915T165844Z_292bc7d6,4,24.0,,1,44.690295733333336,27.8731085,258.69758695,13.762148400000001,12.848714,16.852976050000002,20.991427390000005,5663517.328261073,22654069.31304429,1.0,0.0,True
run_20260915T165936Z_7bf1811d,8,24.0,,1,40.226481979166664,25.4368385,225.64280344999995,13.761181800000001,12.817213,17.67596475,18.37801591,2831704.737541409,22653637.900331274,1.0,0.0,True
run_20260915T170035Z_10ef35a0,16,24.0,,1,39.388996077083334,24.601605,219.87175554999996,19.893171666666667,11.487964,20.5561547,162.29210759000017,1416129.5547754567,22658072.876407307,1.0,0.0,True
run_20260915T170520Z_00ca2719,24,24.0,,1,43.91705828194445,26.211428,224.16274224999995,16.811125633333333,11.9511055,34.966752949999965,56.99166198000002,942697.7877309489,22624746.905542772,1.0,0.0,True
